internalid,expense_number,fyle_amount,netsuite_amount,fyle_account,fyle_account_name,netsuite_account,fyle_date,netsuite_date,receipt_url,export_url
84323,E/2024/06/T/392,435,236.11,654,Chase Unlimited - 9186,,2024-06-18 00:00:00+00,,https://7168963.app.netsuite.com/core/media/media.nl?id=55742&c=7168963&h=BDWijByZwPL5MPA1FROU0LMN2V37NjmGXehh-o1zSXFilRj2,https://7168963.app.netsuite.com/app/accounting/transactions/cardchrg.nl?id=84323
83465,E/2024/06/T/353,411,211.24,654,Chase Unlimited - 9186,,2024-06-18 00:00:00+00,,https://7168963.app.netsuite.com/core/media/media.nl?id=55342&c=7168963&h=x8UfYmimBAODqvHWQTCeqRZntBOJRjfp7k8173pdVr15pGWv,https://7168963.app.netsuite.com/app/accounting/transactions/cardchrg.nl?id=83465
83470,E/2024/06/T/348,262.13,232.13,654,Chase Unlimited - 9186,,2024-06-17 00:00:00+00,,https://7168963.app.netsuite.com/core/media/media.nl?id=55539&c=7168963&h=Svgwd1t6hpWtnLKEKFgG28dimrLJ99VP-4Er_5rQKdDmfs4Y,https://7168963.app.netsuite.com/app/accounting/transactions/cardchrg.nl?id=83470
84757,E/2024/06/T/405,155.45,115.45,654,Chase Unlimited - 9186,,2024-06-19 00:00:00+00,,https://7168963.app.netsuite.com/core/media/media.nl?id=56248&c=7168963&h=Ksr23aHPMR3OtVTRa4av1oUwJkFgWM_fM03Gkz4clLVwag_1,https://7168963.app.netsuite.com/app/accounting/transactions/cardchrg.nl?id=84757
87472,E/2024/06/T/460,27.58,26.33,654,Chase Unlimited - 9186,,2024-06-24 00:00:00+00,,https://7168963.app.netsuite.com/core/media/media.nl?id=58373&c=7168963&h=fsVF6XT8RvZ6CnZpC4AX-KszKsAS7E1KHTmdKEYCdm6X35bY,https://7168963.app.netsuite.com/app/accounting/transactions/cardchrg.nl?id=87472
83467,E/2024/06/T/333,391,191.36,654,Chase Unlimited - 9186,,2024-06-17 00:00:00+00,,https://7168963.app.netsuite.com/core/media/media.nl?id=55344&c=7168963&h=PA2VfNHTbxxQ6nVUoIDHU7OgFrQTBmORF61RQT0gK8hExwxT,https://7168963.app.netsuite.com/app/accounting/transactions/cardchrg.nl?id=83467
83464,E/2024/06/T/338,290,72.44,654,Chase Unlimited - 9186,,2024-06-17 00:00:00+00,,https://7168963.app.netsuite.com/core/media/media.nl?id=55341&c=7168963&h=zQaPXl-avbZ-O3ecf2RC-XUlC2jOcehkcnzG0ghtgdrJGNoF,https://7168963.app.netsuite.com/app/accounting/transactions/cardchrg.nl?id=83464
81778,E/2024/06/T/214,304.1,1737.98,654,Chase Unlimited - 9186,,2024-06-11 00:00:00+00,,https://7168963.app.netsuite.com/core/media/media.nl?id=54519&c=7168963&h=Cal603uQjSwW5APhH8GFQ_JdmydaR5sPGOSI7ocoiMFVwJow&_xt=.pdf,https://7168963.app.netsuite.com/app/accounting/transactions/cardchrg.nl?id=81778
80540,E/2024/06/T/64,1628.13,1398.33,654,Chase Unlimited - 9186,,2024-06-04 00:00:00+00,,https://7168963.app.netsuite.com/core/media/media.nl?id=53513&c=7168963&h=t-hSvvNP0ScXqGvEAj5QN_DjMZ1CjG46jCJZBjnsGVUrzYSD,https://7168963.app.netsuite.com/app/accounting/transactions/cardchrg.nl?id=80540
64636,E/2024/04/T/393,245.33,190.6,654,Chase Unlimited - 9186,,2024-04-20 00:00:00+00,,https://7168963.app.netsuite.com/core/media/media.nl?id=41769&c=7168963&h=lSwUlDX5O1aMMLt8n-wzukSEKpzHhHy1tcJbL31TlRuIlzHL,https://7168963.app.netsuite.com/app/accounting/transactions/cardchrg.nl?id=64636
62554,E/2024/04/T/332,1380.42,85.75,654,Chase Unlimited - 9186,,2024-04-17 00:00:00+00,,https://7168963.app.netsuite.com/core/media/media.nl?id=40783&c=7168963&h=Gumhy3DgmAhjcCJom3-SInSPGjFukLTixfbCvq3W235_I57T,https://7168963.app.netsuite.com/app/accounting/transactions/cardchrg.nl?id=62554
